epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1551.41,1.15428,0.58809,0.98723,0.7679,0.66947,0.7113,0.32771,1.59219,0.73977,1.14847,0.0004665,0.0004665,0.0004665
99,1567.18,1.16087,0.58211,0.98562,0.73269,0.68229,0.70143,0.32509,1.59151,0.74319,1.14794,0.000461,0.000461,0.000461
100,1582.98,1.1511,0.57678,0.98278,0.72835,0.67435,0.71042,0.32929,1.56434,0.74634,1.14143,0.0004555,0.0004555,0.0004555
101,1598.81,1.141,0.57776,0.97657,0.77091,0.65777,0.70014,0.32484,1.57633,0.74927,1.14415,0.00045,0.00045,0.00045
102,1614.21,1.13784,0.57217,0.97818,0.76831,0.64997,0.7037,0.32415,1.58309,0.74941,1.13957,0.0004445,0.0004445,0.0004445
103,1629.44,1.13818,0.57556,0.96983,0.70413,0.7032,0.72039,0.3283,1.58321,0.75556,1.14991,0.000439,0.000439,0.000439
104,1644.79,1.12056,0.56966,0.97068,0.71445,0.68997,0.70041,0.31985,1.58296,0.74893,1.14961,0.0004335,0.0004335,0.0004335
105,1660.26,1.11976,0.57091,0.97992,0.74505,0.67446,0.68664,0.32024,1.59888,0.74101,1.15396,0.000428,0.000428,0.000428
106,1676.01,1.1227,0.56727,0.96881,0.75154,0.67525,0.69794,0.32286,1.58658,0.74826,1.15213,0.0004225,0.0004225,0.0004225
107,1691.85,1.12034,0.56862,0.97071,0.7344,0.66453,0.69921,0.32633,1.58132,0.73351,1.16083,0.000417,0.000417,0.000417
108,1707.62,1.11866,0.56758,0.9734,0.71163,0.68857,0.69531,0.32047,1.58629,0.74656,1.15586,0.0004115,0.0004115,0.0004115
109,1723.22,1.11528,0.56039,0.97064,0.71359,0.69131,0.70844,0.32977,1.57903,0.75098,1.14083,0.000406,0.000406,0.000406
110,1738.51,1.11181,0.56191,0.97064,0.7551,0.65767,0.70733,0.33148,1.57627,0.73966,1.14171,0.0004005,0.0004005,0.0004005
111,1753.63,1.09811,0.55743,0.96349,0.76491,0.65226,0.70587,0.32802,1.60135,0.73951,1.15286,0.000395,0.000395,0.000395
112,1769.11,1.09048,0.54768,0.96064,0.74822,0.6931,0.70679,0.32579,1.57993,0.73739,1.15199,0.0003895,0.0003895,0.0003895
113,1784.52,1.10382,0.561,0.96418,0.71865,0.70313,0.71133,0.32588,1.58515,0.74468,1.15527,0.000384,0.000384,0.000384
114,1802.6,1.10604,0.56141,0.96973,0.76189,0.67987,0.70026,0.32343,1.59135,0.73797,1.15497,0.0003785,0.0003785,0.0003785
115,1822.37,1.09211,0.54846,0.96127,0.71397,0.68622,0.70221,0.32635,1.57576,0.73728,1.15059,0.000373,0.000373,0.000373
116,1842.44,1.09969,0.55017,0.97086,0.75365,0.68941,0.70808,0.32657,1.57659,0.72871,1.15149,0.0003675,0.0003675,0.0003675
117,1862.25,1.09463,0.55081,0.96182,0.70591,0.71488,0.70719,0.32424,1.60492,0.75217,1.16067,0.000362,0.000362,0.000362
